,Weather,Categories,Vehicle Age,Injury Severity
0,Clear,0-5,2.642974808148178,0.009281208566033188
1,Clear,5-10,7.898124340271199,0.007903212710098249
2,Clear,10-15,12.801826014782025,0.010987707995731394
3,Clear,20+,17.58291332727423,0.011980500702305214
4,Cloudy,0-5,2.6514356709000553,0.00800662617338487
5,Cloudy,5-10,7.893888888888889,0.011296296296296296
6,Cloudy,10-15,12.824294410625345,0.014388489208633094
7,Cloudy,20+,17.517201166180758,0.009912536443148687
8,Rain,0-5,2.6378692374242987,0.006303299962921765
9,Rain,5-10,7.907694821107662,0.005881391929423297
10,Rain,10-15,12.827830188679245,0.009433962264150943
11,Rain,20+,17.573087705246294,0.0092110532639167
12,Snow,0-5,2.807079646017699,0.0017699115044247787
13,Snow,5-10,7.844398340248962,0.002074688796680498
14,Snow,10-15,12.79050279329609,0.00558659217877095
15,Snow,20+,17.502890173410403,0.005780346820809248
